"","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year","yieldpercol_kg","price_per_kg","totalprod_kg","StateName","Region","FIPS","nCLOTHIANIDIN","nIMIDACLOPRID","nTHIAMETHOXAM","nACETAMIPRID","nTHIACLOPRID","nAllNeonic","nAllNeonic_kg"
"627","AL",14000,66,924000,92000,0.81,748000,1997,29.9371002472922,1.7857440954,419119.403462091,"Alabama","South",1,0,6704.8,0,0,0,6704.8,3041.2465111825
"628","AL",15000,64,960000,96000,0.87,835000,1996,29.0299153913137,1.9180214358,435448.730869705,"Alabama","South",1,0,371.6,0,0,0,371.6,168.554946240815
"629","AL",16000,58,928000,28000,0.69,640000,1995,26.308360823378,1.5211894146,420933.773174048,"Alabama","South",1,0,716.5,0,0,0,716.5,324.998974654316
"630","AL",18000,50,9e+05,99000,0.52,468000,1994,22.6796213994638,1.1464036168,408233.185190349,"Alabama","South",1,NA,NA,NA,NA,NA,NA,NA
"631","AL",19000,45,855000,103000,0.59,504000,1993,20.4116592595174,1.3007271806,387821.525930831,"Alabama","South",1,NA,NA,NA,NA,NA,NA,NA
"632","AL",23000,24,552000,66000,0.63,348000,1991,10.8862182717426,1.3889120742,250383.020250081,"Alabama","South",1,NA,NA,NA,NA,NA,NA,NA
"633","AL",25000,41,1025000,113000,0.59,605000,1992,18.5972895475603,1.3007271806,464932.238689008,"Alabama","South",1,NA,NA,NA,NA,NA,NA,NA
"634","AL",11000,56,616000,209000,1.49,918000,2007,25.4011759673995,3.2848872866,279412.935641394,"Alabama","South",1,7696.2,3258.1,4149.6,0,0,15103.9,6851.01467310723
"635","AL",11000,72,792000,230000,1.21,958000,2006,32.6586548152279,2.6675930314,359245.202967507,"Alabama","South",1,680,4230.2,5371.6,0,0,10281.8,4663.74662610014
"636","AL",12000,86,1032000,103000,1.18,1218000,2002,39.0089488070778,2.6014543612,468107.385684933,"Alabama","South",1,0,1178.8,840.4,0,0,2019.2,915.893830595947
"637","AL",12000,87,1044000,282000,1.41,1472000,2004,39.462541235067,3.1085174994,473550.494820805,"Alabama","South",1,2676.4,1323.9,3863.9,0,0,7864.2,3567.14157219327
"638","AL",13000,66,858000,266000,1.02,875000,2005,29.9371002472922,2.2487147868,389182.303214799,"Alabama","South",1,1503.6,994.5,5493.9,0,0,7992,3625.1106844903
"639","AL",13000,82,1066000,43000,1.24,1322000,2003,37.1945790951207,2.7337317016,483529.528236569,"Alabama","South",1,0,668.3,591.7,0,0,1260,571.526459266488
"640","AL",14000,73,1022000,235000,0.72,736000,2001,33.1122472432172,1.5873280848,463571.46140504,"Alabama","South",1,0,1490.8,0,0,0,1490.8,676.215591646413
"641","AL",16000,71,1136000,159000,0.72,818000,1998,32.2050623872386,1.5873280848,515280.998195818,"Alabama","South",1,0,1836.3,0,0,0,1836.3,832.931775516708
